Exterior1st_WdSdng,HouseStyle_SLvl,BsmtFinType1,TotalExtraPoints,Neighborhood_BrkSide,LotAreaMultSlope^3,MSSubClass_50,LotAreaMultSlope^2,YearBuilt,HalfBath,Neighborhood_Somerst,GarageFinish,MiscFeature_Othr,ExterCond,Foundation_BrkTil,GarageType_NA,BsmtQual,MoSold_11,TotalPoints^2_GarageArea_x_Car,MoSold_2,Exterior2nd_HdBoard,YearRemodAdd,Exterior1st_Plywood,Heating_Grav,MoSold_5,Neighborhood_NoRidge,ConstructArea_TotalPoints_LotAreaMultSlope,ConstructArea_GarageArea_x_Car^2,Exterior1st_BrkComm,GarageArea_x_Car^2,MSSubClass_40,BsmtExposure,GarageArea_x_Car,GarageArea_x_Car^3,TotalPoints^2_LotAreaMultSlope,TotalPoints_LotAreaMultSlope,Exterior1st_BrkFace,Neighborhood_SWISU,ConstructArea_GarageArea_x_Car,ConstructArea_LotAreaMultSlope,Neighborhood_Timber,HouseStyle_SFoyer,MoSold_8,MoSold_9,Exterior1st_Stucco,LotShape,TotRmsAbvGrd,MSZoning_RM,BsmtFinType2,MoSold_4,ConstructArea_TotalPoints^2,ConstructArea^2,LandContour_Lvl,SaleType_WD,GarageType_Detchd,BedroomAbvGr,Alley_NA,Condition2_Artery,EnclosedPorch,Remod,MoSold_12,MoSold_6,Neighborhood_SawyerW,TotBathrooms,MoSold_1,Condition1_Feedr,MSSubClass_80,Condition1_RRAe,Neighborhood_StoneBr,BsmtCond,TotalPoints_GarageArea_x_Car^2,LotAreaMultSlope_GarageArea_x_Car,HouseStyle_15Fin,Exterior2nd_Stone,Neighborhood_Gilbert,Neighborhood_BrDale,RoofMatl_WdShake,Exterior1st_HdBoard,ConstructArea_TotalPoints,MSSubClass_85,Condition1_Artery,SaleType_ConLD,HeatingQC,Foundation_Slab,LotAreaMultSlope,LotConfig_FR2,YrSold,MoSold_7,ConstructArea_LotAreaMultSlope_GarageArea_x_Car,Neighborhood_Sawyer,Exterior2nd_MetalSd,Neighborhood_Blmngtn,Fence,MSSubClass_60,TotalPoints_LotAreaMultSlope_GarageArea_x_Car,GarageType_BuiltIn,Exterior1st_CemntBd,Neighborhood_Edwards,CentralAir,MSSubClass_20,TotalPoints^2,Exterior1st_AsbShng,Neighborhood_NAmes,RoofStyle_Mansard,Exterior1st_WdShing,Garage_Newest,MSSubClass_190,LotFrontage,Heating_GasA,Neighborhood_OldTown,GarageType_CarPort,ConstructArea^3,Neighborhood_NridgHt,ConstructArea_TotalPoints_GarageArea_x_Car,MSSubClass_160,Street,Neighborhood_CollgCr,RoofStyle_Shed,ExterQual,TotalPoints,LotConfig_Inside,Neighborhood_NPkVill,SaleCondition_Family,MSSubClass_30,Exterior2nd_Plywood,MSSubClass_120,MiscFeature_Shed,Condition1_RRAn,Exterior2nd_BrkFace,Neighborhood_MeadowV,Condition1_Norm,RoofMatl_WdShngl,GarageYrBlt,ConstructArea^2_TotalPoints,MSSubClass_75,Neighborhood_Blueste,HouseStyle_15Unf,RoofStyle_Gambrel,BsmtFullBath,Exterior2nd_CmentBd,ConstructArea^2_GarageArea_x_Car,MasVnrArea,MSZoning_FV,FullBath,ConstructArea_LotAreaMultSlope^2,SaleCondition_Alloca,KitchenAbvGr,OverallCond,MiscFeature_Pool,Heating_GasW,RoofStyle_Hip,LandSlope,IsNew,Exterior2nd_WdSdng,ConstructArea^2_LotAreaMultSlope,OpenPorchSF,Neighborhood_Mitchel,TotalPoints_GarageArea_x_Car,Neighborhood_Veenker,TotalPoints^3,Condition2_Feedr,MSSubClass_70,Exterior1st_AsphShn,LotAreaMultSlope^2_GarageArea_x_Car,MSSubClass_180,Fireplaces,RoofMatl_CompShg,MasVnrType_BrkFace,MasVnrType_Stone,MoSold_3,Functional,Neighborhood_Crawfor,SaleCondition_AdjLand,Alley_Pave,RoofMatl_TarGrv,ConstructArea,Electrical_FuseF,Exterior2nd_AsbShng,SaleCondition_Abnorml,LotAreaMultSlope_GarageArea_x_Car^2,GarageType_Basment,Neighborhood_IDOTRR,Foundation_PConc,Neighborhood_ClearCr,LotConfig_CulDSac,TotalPoints_LotAreaMultSlope^2,BsmtHalfBath,Electrical_FuseA,KitchenQual,PavedDrive
0,0,6,9,0,394261.0278974985,0,5376.78370935796,8,1,0,2,0,1.2694949686613841,0,0,11.984608704517683,0,489498.1611832094,1,0,8,0,0,0,0,169451.39864510056,88731.74906670426,0,3494.1098953267096,0,0.5799486500563561,59.110996399373185,206540.31744167136,607217.2042808549,6672.716530558845,0,0,1501.1039311062125,1862.103281814292,0,0,0,0,0,6746.369639008826,2.1556371566470314,0,0.5219225197025384,0,210293.2180250367,644.888993044059,1,1,0,3,1,0,0,0,0,0,0,3.5,0,0,0,0,0,28.17662001269313,317964.00047473056,4334.405745185734,0,0,0,0,0,0,2310.914483791612,0,0,0,5,0,73.32655528086643,0,3,0,110070.7803865856,0,0,0,0.18029043451860408,1,394430.92281190184,0,0,0,1,0,8281.0,0,0,0,0,0,0,19.1088101062134,1,0,0,16376.739719376968,0,136600.45773066534,0,1,1,0,0.6430468894253654,91,1,0,0,0,0,0,0,0,0,0,1,0,8.0,58684.89836700937,0,0,0,0,1,0,38120.03094582278,2.861573437621735,0,1,136541.61923263845,0,0.4293088365812357,5,0,0,0,3,0,0,47287.48839846749,4.300717285205862,0,5379.10067234296,0,753571.0,0,0,0,317827.0424840668,0,0.0,1,1,0,0,7,0,0,0,0,25.394664657050683,0,0,0,256211.04239709637,0,0,1,0,0,489287.3175515744,0,0,4,3
0,0,5,11,0,446770.04955914564,0,5844.168120306076,35,0,0,2,0,1.2694949686613841,0,0,11.984608704517683,0,382055.60017860524,0,0,35,0,0,1,0,161849.38143966798,73893.5281620388,0,2931.811173629956,0,1.08222408123753,54.146201839371486,158746.43956229222,539411.1539563702,6421.561356623455,0,0,1364.703813967398,1926.778350472238,0,0,0,0,0,6746.369639008826,1.9132446221192825,0,0.5219225197025384,0,177839.8074886232,635.2443556421995,1,1,0,3,1,0,0,0,0,0,0,2.5,0,1,0,0,0,28.17662001269313,246272.1385849163,4139.323301662403,0,0,0,0,0,0,2117.1405653407523,0,0,0,5,0,76.44715900742209,1,4,0,104327.72946440105,0,1,0,0.18029043451860408,0,347703.1573396418,0,0,0,1,1,7056.0,0,0,0,0,0,0,21.840407473279488,1,0,0,16010.733264688668,0,114635.12037326142,0,1,0,0,0.6150612904023813,84,0,0,0,0,0,0,0,0,0,0,0,0,35.0,53360.52587394476,0,0,0,0,0,0,34396.06909792402,0.0,0,1,147296.7309306096,0,0.4293088365812357,8,0,0,0,3,0,0,48562.62626434662,0.0,0,4548.280954507205,1,592704.0,0,0,0,316439.5066253131,0,0.5837938020783031,1,0,0,0,7,0,0,0,0,25.20405434929467,0,0,0,224128.634970226,0,0,0,0,0,490910.1221057104,1,0,3,3
0,0,6,12,0,521740.71597527526,0,6480.917402901384,10,1,0,2,0,1.2694949686613841,0,0,11.984608704517683,0,561925.5904365508,0,0,9,0,0,0,0,196560.8593039983,99636.48397563398,0,3876.708977831247,0,0.8324705811413684,62.26322331706934,241376.39682199454,726549.9109074989,7647.893799026304,0,0,1600.2461592494979,2069.0616768841924,0,0,0,1,0,1527.607848369242,1.9132446221192825,0,0.5219225197025384,0,231954.28726330347,660.5571335987552,1,1,0,3,1,0,0,1,0,0,0,3.5,0,0,0,0,0,28.17662001269313,368287.35289396846,5012.447573831627,0,0,0,0,0,0,2441.624076455826,0,0,0,5,0,80.50414525290846,0,3,0,128826.44924463045,0,0,0,0.18029043451860408,1,476182.5195140045,0,0,0,1,0,9025.0,0,0,0,0,0,0,19.67337475863496,1,0,0,16977.18106599335,0,152023.38512870227,0,1,1,0,0.6430468894253654,95,1,0,0,0,0,0,0,0,0,0,1,0,10.0,62752.92769188174,0,0,0,0,1,0,41128.4163229425,2.8128709028938035,0,1,166568.04177311138,0,0.4293088365812357,5,0,0,0,3,0,0,53177.587431079046,3.9050131940273065,0,5915.006215121587,0,857375.0,0,0,0,403522.8075563299,0,0.5837938020783031,1,1,0,0,7,0,0,0,0,25.701306067956065,0,0,0,312091.142654581,0,0,1,0,0,615687.1532756315,0,0,4,3
1,0,5,12,0,444491.6358707822,0,5824.282012694931,96,0,0,1,0,1.2694949686613841,1,0,7.491996739183874,0,662630.8581999025,1,0,41,0,0,0,0,179054.9365253311,156303.70696965247,0,6129.033627560203,0,0.5799486500563561,78.28814487238922,479830.67256217846,645946.9506816546,7021.162507409289,0,0,1996.518211338763,1946.2493100579468,0,0,0,0,0,1527.607848369242,2.0421678680039674,0,0.5219225197025384,0,215850.4351880624,650.3610863355766,1,1,1,3,1,0,1,1,0,0,0,2.0,0,0,0,0,0,58.7893875289113,563871.0937355387,5974.715082093979,0,0,0,0,0,0,2346.200382478939,0,0,0,4,0,76.31698377618793,0,5,0,152368.24794360413,0,0,0,0.18029043451860408,0,549673.787552646,0,0,0,1,0,8464.0,0,0,0,0,0,0,18.144702433472695,1,0,0,16585.624233803785,0,183679.6754431662,0,1,0,0,0.6150612904023813,92,0,0,0,0,0,0,0,0,0,0,1,0,13.0,59833.219942873046,0,0,0,0,1,0,50915.562946404054,0.0,0,1,148531.87702010927,0,0.4293088365812357,5,0,0,0,3,0,0,49633.596474536156,3.713910244425151,0,7202.509328259809,0,778688.0,0,1,0,455972.2339875115,0,0.5837938020783031,1,0,0,0,7,1,0,0,0,25.502178070423252,0,0,1,467749.35991822224,0,0,0,0,0,535833.9451679336,0,0,4,3
0,0,6,12,0,657535.1987386317,0,7561.582080619746,11,1,0,2,0,1.2694949686613841,0,0,11.984608704517683,0,1099482.7562019052,0,0,11,0,0,0,1,270648.5463235702,223285.90781489943,0,7963.150610289137,0,0.981393149728062,89.23648698984702,710603.5858332589,1071401.605812455,9652.266719031126,0,0,2502.181734701233,2438.275192104236,0,0,0,0,0,1527.607848369242,2.2569414752604784,0,0.5219225197025384,0,345479.54758417973,786.235717478806,1,1,0,4,1,0,0,0,1,0,0,3.5,0,0,0,0,0,28.17662001269313,883909.7177420942,7759.769130588779,0,0,0,0,0,0,3112.4283566142317,0,0,0,5,0,86.95735782910924,1,3,0,217583.1124578764,0,0,0,0.18029043451860408,1,861334.3734953545,0,0,0,1,0,12321.0,0,0,0,0,0,0,22.53392120153618,1,0,0,22045.967045621368,0,277742.1725518368,0,1,0,0,0.6430468894253654,111,0,0,0,0,0,0,0,0,0,0,1,0,11.0,87272.16464014746,0,0,0,0,1,0,70160.9133737505,2.9959802489319944,0,1,212025.96836564812,0,0.4293088365812357,5,0,0,0,3,0,0,68368.98062283098,4.644215173624976,0,9905.250055873019,0,1367631.0,0,0,0,674769.0209598844,0,0.5837938020783031,1,1,0,0,7,0,0,0,0,28.03989510463272,0,0,0,692454.5370660021,0,0,1,0,0,839335.6109487918,0,0,4,3
0,0,6,8,0,651019.561055984,1,7511.546474748784,18,1,0,1,0,1.2694949686613841,0,0,11.984608704517683,0,233705.17779757603,0,0,16,0,0,0,0,138795.978635119,75384.5053865001,0,3059.730969049914,0,0.5799486500563561,55.3148349816748,169248.51364131592,366177.27850156475,5633.496592331765,0,0,1362.8261823699584,2135.3227482326,0,0,0,0,0,1527.607848369242,1.76403962430243,0,0.5219225197025384,0,104093.96724080651,607.0125844854226,1,1,0,1,1,0,0,1,0,0,0,2.5,0,0,0,0,0,28.17662001269313,198882.51298824442,4794.091298071676,1,0,0,0,0,0,1601.4456498585616,0,0,0,5,0,86.66917834356562,0,2,0,118115.02545110261,0,0,0,0.184581902784823,0,311615.9343746589,0,0,0,1,0,4225.0,0,0,0,0,0,0,22.705262595819462,1,0,0,14955.348658978195,0,88583.7018540473,0,1,0,0,0.6150612904023813,65,1,0,0,0,0,0,1,0,0,0,1,0,18.0,39455.817991552474,0,0,0,0,1,0,33576.80094261109,0.0,0,1,185066.66808764392,0,0.4293088365812357,5,0,0,0,3,0,0,52609.28194155579,3.5536040442619536,1,3595.464273808862,0,274625.0,0,0,0,415499.9537079101,0,0.0,1,0,0,0,7,0,0,0,0,24.63762538243941,0,0,0,265184.3690399179,0,0,0,0,0,488250.52085867093,0,0,3,3
0,0,6,13,0,468804.49255490425,0,6034.776306798419,7,0,1,2,0,1.2694949686613841,0,0,17.47438098929469,0,813120.3967008758,0,0,6,0,0,0,0,241902.95810984386,111744.99591123794,0,4055.0474136836206,0,0.981393149728062,63.67925418598761,258222.39499219094,991944.7318519357,8778.271963291467,0,0,1754.8100608223992,2140.7341425649897,0,0,1,0,0,6746.369639008826,2.0421678680039674,0,0.5219225197025384,0,351875.5040879834,759.3889874560583,1,1,0,3,1,0,0,1,0,0,0,3.0,0,0,0,0,0,28.17662001269313,458220.3577462491,4946.847890833325,0,0,0,0,0,0,3113.94251405295,0,0,0,5,0,77.68382268399527,0,4,0,136320.35360901823,0,0,0,0.18029043451860408,0,558993.8116641658,0,0,0,1,1,12769.0,0,0,0,0,0,0,20.954103804927097,1,0,0,20926.49250215082,0,198293.53687293112,0,1,0,0,0.6430468894253654,113,1,0,0,0,0,0,0,0,0,0,1,0,7.0,85810.95558253459,0,0,0,0,1,0,48357.324358254096,2.848421341150001,0,1,166300.41154459334,0,0.4293088365812357,5,0,0,0,3,0,0,58992.23944971514,4.228386243520748,0,7195.7557230166,0,1442897.0,0,0,0,384290.0543961921,0,0.5837938020783031,1,0,1,0,7,0,0,0,0,27.557013398698675,0,0,0,315011.584259792,0,0,1,0,0,681929.7226682213,0,0,4,3
0,0,5,11,0,482352.9830458594,0,6150.493716313696,38,1,0,2,0,1.2694949686613841,0,0,11.984608704517683,1,511907.6112883441,0,1,38,0,0,0,0,208412.42319454718,85407.42380077057,0,3085.305985049712,0,0.8324705811413684,55.54553073875262,171374.9584310362,722765.5692029507,7528.808012530737,0,0,1537.611085263861,2170.962741609866,0,0,0,0,0,1527.607848369242,2.0421678680039674,0,0.8707061715571544,0,255117.26278105902,766.2928283232221,1,1,0,3,1,0,1,0,0,0,0,3.5,0,0,0,0,0,28.17662001269313,296189.37456477236,4356.1628842311775,0,0,0,0,0,1,2657.4714873026983,0,0,0,5,0,78.42508346386184,0,2,0,120587.27769677748,0,0,0,0.18029043451860408,1,418191.63688619307,0,0,0,1,0,9216.0,0,0,0,0,0,0,19.889001071572885,1,0,0,21212.513981182336,0,147610.66418533065,0,1,0,0,0.6150612904023813,96,0,0,0,0,0,0,1,0,0,0,0,0,38.0,73564.11151902932,0,0,0,0,1,0,42564.14185051322,2.9108110696361833,0,1,170257.9342076881,0,0.4293088365812357,6,0,0,0,3,0,0,60096.57901900744,5.614089140625358,0,5332.370950920251,0,884736.0,0,0,0,341632.43777800724,0,0.8409095138268773,1,0,1,0,7,0,0,0,0,27.681994659403106,0,0,0,241965.37938907614,0,0,0,0,0,590447.3967661147,0,0,3,3
0,0,1,10,0,287121.51896086126,1,4352.216541579494,80,0,0,1,0,1.2694949686613841,1,0,7.491996739183874,0,385375.70336478687,0,0,61,0,0,0,0,142095.23325922358,76488.56128482413,0,2982.9880703301387,0,0.5799486500563561,54.616738005213556,162921.07790989874,465493.71301561955,5541.591821614518,1,0,1400.46008015936,1691.6099197526614,0,0,0,0,0,6746.369639008826,2.1556371566470314,1,0.5219225197025384,1,180927.06899963834,657.4912101149963,1,1,1,2,1,0,1,1,0,0,0,2.0,0,0,0,0,0,28.17662001269313,250570.99790773165,3603.1389125351698,1,0,0,0,0,0,2153.893678567123,0,1,0,4,0,65.97133120969664,0,3,0,92390.21579415143,0,0,0,0.18029043451860408,0,302663.6686529543,0,0,0,1,0,7056.0,0,0,0,0,0,0,16.326231650454513,1,1,0,16859.120966430222,0,117638.64673338622,0,1,0,0,0.6150612904023813,84,1,0,0,0,0,0,0,0,0,0,0,0,80.0,55229.26164965968,0,0,0,0,0,0,35910.02516358157,0.0,0,1,111597.75829361119,0,0.5354589409753809,5,0,0,0,3,0,0,43375.57038996067,0.0,0,4587.805992437939,0,592704.0,0,0,0,237703.87059340387,0,0.8409095138268773,1,0,0,0,6,0,0,0,0,25.64159141151337,1,0,1,196791.69398232346,0,0,0,0,0,365586.1894926775,0,0,3,3
0,0,6,11,1,347031.77856711874,0,4938.323057039302,72,0,0,2,0,1.2694949686613841,1,0,7.491996739183874,0,119805.60902946445,0,0,61,0,0,0,0,110164.63627876234,14386.703891023264,0,633.224834989891,0,0.5799486500563561,25.16395904840673,15934.443816119725,334570.71938679833,4848.851005605773,0,0,571.7186180182631,1596.5889315762658,0,0,0,0,0,6746.369639008826,1.76403962430243,0,0.5219225197025384,0,108168.6842340213,516.1866056531577,1,1,0,2,1,1,0,1,0,0,0,2.0,1,0,0,0,0,28.17662001269313,43692.51361430247,1768.3520019839052,0,0,0,0,0,0,1567.6620903481348,0,1,0,5,0,70.27320297979381,0,3,0,40176.49849132461,0,1,0,0.18029043451860408,0,122016.28813688946,0,0,0,1,0,4761.0,0,0,0,0,0,1,16.116738054427643,1,0,0,11727.625698955617,0,39448.58464326016,0,1,0,0,0.6150612904023813,69,0,0,0,0,0,0,0,0,0,0,0,0,72.0,35616.875790067876,0,0,1,0,1,0,12989.298605992133,0.0,0,1,112197.41806395106,0,0.5354589409753809,6,0,0,0,3,0,0,36274.08611451513,1.6353953645975594,0,1736.3131743400645,0,328509.0,0,0,0,124267.75917513971,0,0.8409095138268773,1,0,0,0,7,0,0,0,0,22.71974043982804,0,0,0,44498.73736109105,0,0,0,0,0,340744.2909357118,0,0,3,3
