PassengerId,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked,Deck,countDeck,Title,port_sex,Age_bin,FamilySize,Ticket_freq,Fare_bin
1,0,3,male,1,0,7,S,U,1014,Mr,623,2,Small,1,low
2,1,1,female,1,0,71,C,C,94,Mrs,113,7,Small,2,superhigh
3,1,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1,low
4,1,1,female,1,0,53,S,C,94,Mrs,293,6,Small,2,superhigh
5,0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1,medium
6,0,3,male,0,0,8,Q,U,1014,Mr,63,7,Alone,1,medium
7,0,1,male,0,0,51,S,E,41,Mr,623,9,Alone,2,superhigh
8,0,3,male,3,1,21,S,U,1014,Master,623,0,Medium,5,high
9,1,3,female,0,2,11,S,U,1014,Mrs,293,4,Small,3,high
10,1,2,female,1,0,30,C,U,1014,Mrs,113,0,Small,2,veryHigh
11,1,3,female,1,1,16,S,G,5,Miss,293,0,Small,3,high
12,1,1,female,0,0,26,S,C,94,Miss,293,9,Alone,1,veryHigh
13,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1,medium
14,0,3,male,1,5,31,S,U,1014,Mr,623,7,Large,7,veryHigh
15,0,3,female,0,0,7,S,U,1014,Miss,293,0,Alone,1,low
16,1,2,female,0,0,16,S,U,1014,Mrs,293,9,Alone,1,high
17,0,3,male,4,1,29,Q,U,1014,Master,63,0,Medium,6,veryHigh
18,1,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1,high
19,0,3,female,1,0,18,S,U,1014,Mrs,293,5,Small,2,high
20,1,3,female,0,0,7,C,U,1014,Mrs,113,4,Alone,1,low
21,0,2,male,0,0,26,S,U,1014,Mr,623,6,Alone,2,veryHigh
22,1,2,male,0,0,13,S,D,46,Mr,623,6,Alone,1,high
23,1,3,female,0,0,8,Q,U,1014,Miss,60,0,Alone,1,medium
24,1,1,male,0,0,35,S,A,22,Mr,623,4,Alone,1,veryHigh
25,0,3,female,3,1,21,S,U,1014,Miss,293,0,Medium,5,high
26,1,3,female,1,5,31,S,U,1014,Mrs,293,7,Large,7,veryHigh
27,0,3,male,0,0,7,C,U,1014,Mr,157,3,Alone,1,low
28,0,1,male,3,2,263,S,C,94,Mr,623,1,Medium,6,superhigh
29,1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1,low
30,0,3,male,0,0,7,S,U,1014,Mr,623,6,Alone,1,low
31,0,1,male,0,0,27,C,U,1014,Rare,157,7,Alone,1,veryHigh
32,1,1,female,1,0,146,C,B,65,Mrs,113,8,Small,3,superhigh
33,1,3,female,0,0,7,Q,U,1014,Miss,60,3,Alone,1,low
34,0,2,male,0,0,10,S,U,1014,Mr,623,9,Alone,1,medium
35,0,1,male,1,0,82,C,U,1014,Mr,157,4,Small,2,superhigh
36,0,1,male,1,0,52,S,U,1014,Mr,623,8,Small,2,superhigh
37,1,3,male,0,0,7,C,U,1014,Mr,157,0,Alone,1,low
38,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1,medium
39,0,3,female,2,0,18,S,U,1014,Miss,293,1,Small,2,high
40,1,3,female,1,0,11,C,U,1014,Miss,113,0,Small,2,high
41,0,3,female,1,0,9,S,U,1014,Mrs,293,7,Small,1,medium
42,0,2,female,1,0,21,S,U,1014,Mrs,293,4,Small,2,high
43,0,3,male,0,0,7,C,U,1014,Mr,157,6,Alone,1,low
44,1,2,female,1,2,41,C,U,1014,Miss,113,0,Small,4,veryHigh
45,1,3,female,0,0,7,Q,U,1014,Miss,60,1,Alone,1,low
46,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1,medium
47,0,3,male,1,0,15,Q,U,1014,Mr,63,8,Small,2,high
48,1,3,female,0,0,7,Q,U,1014,Miss,60,7,Alone,1,low
49,0,3,male,2,0,21,C,U,1014,Mr,157,7,Small,3,high
50,0,3,female,1,0,17,S,U,1014,Mrs,293,1,Small,2,high
51,0,3,male,4,1,39,S,U,1014,Master,623,0,Medium,7,veryHigh
52,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
53,1,1,female,1,0,76,C,D,46,Mrs,113,9,Small,3,superhigh
54,1,2,female,1,0,26,S,U,1014,Mrs,293,5,Small,2,veryHigh
55,0,1,male,0,1,61,C,B,65,Mr,157,9,Small,2,superhigh
56,1,1,male,0,0,35,S,C,94,Mr,623,8,Alone,1,veryHigh
57,1,2,female,0,0,10,S,U,1014,Miss,293,2,Alone,1,medium
58,0,3,male,0,0,7,C,U,1014,Mr,157,4,Alone,1,low
59,1,2,female,1,2,27,S,U,1014,Miss,293,0,Small,4,veryHigh
60,0,3,male,5,2,46,S,U,1014,Master,623,0,Large,8,superhigh
61,0,3,male,0,0,7,C,U,1014,Mr,157,2,Alone,1,low
62,1,1,female,0,0,80,S,B,65,Miss,293,7,Alone,2,superhigh
63,0,1,male,1,0,83,S,C,94,Mr,623,8,Small,2,superhigh
64,0,3,male,3,2,27,S,U,1014,Master,623,0,Medium,6,veryHigh
65,0,1,male,0,0,27,C,U,1014,Mr,157,0,Alone,1,veryHigh
66,1,3,male,1,1,15,C,U,1014,Master,157,4,Small,3,high
67,1,2,female,0,0,10,S,F,21,Mrs,293,5,Alone,1,medium
68,0,3,male,0,0,8,S,U,1014,Mr,623,1,Alone,1,medium
69,1,3,female,4,2,7,S,U,1014,Miss,293,1,Large,1,low
70,0,3,male,2,0,8,S,U,1014,Mr,623,4,Small,1,medium
71,0,2,male,0,0,10,S,U,1014,Mr,623,6,Alone,1,medium
72,0,3,female,5,2,46,S,U,1014,Miss,293,0,Large,8,superhigh
73,0,2,male,0,0,73,S,U,1014,Mr,623,2,Alone,7,superhigh
74,0,3,male,1,0,14,C,U,1014,Mr,157,4,Small,2,high
75,1,3,male,0,0,56,S,U,1014,Mr,623,6,Alone,8,superhigh
76,0,3,male,0,0,7,S,F,21,Mr,623,3,Alone,1,low
77,0,3,male,0,0,7,S,U,1014,Mr,623,5,Alone,1,low
78,0,3,male,0,0,8,S,U,1014,Mr,623,0,Alone,1,medium
79,1,2,male,0,2,29,S,U,1014,Master,623,0,Small,3,veryHigh
80,1,3,female,0,0,12,S,U,1014,Miss,293,5,Alone,2,high
81,0,3,male,0,0,9,S,U,1014,Mr,623,2,Alone,1,medium
82,1,3,male,0,0,9,S,U,1014,Mr,623,5,Alone,1,medium
83,1,3,female,0,0,7,Q,U,1014,Miss,60,8,Alone,1,low
84,0,1,male,0,0,47,S,U,1014,Mr,623,4,Alone,2,superhigh
85,1,2,female,0,0,10,S,U,1014,Miss,293,1,Alone,1,medium
86,1,3,female,3,0,15,S,U,1014,Mrs,293,6,Small,2,high
87,0,3,male,1,3,34,S,U,1014,Mr,623,0,Medium,5,veryHigh
88,0,3,male,0,0,8,S,U,1014,Mr,623,7,Alone,1,medium
89,1,1,female,3,2,263,S,C,94,Miss,293,3,Medium,6,superhigh
90,0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1,medium
91,0,3,male,0,0,8,S,U,1014,Mr,623,5,Alone,1,medium
92,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
93,0,1,male,1,0,61,S,E,41,Mr,623,8,Small,2,superhigh
94,0,3,male,1,2,20,S,U,1014,Mr,623,4,Small,4,high
95,0,3,male,0,0,7,S,U,1014,Mr,623,9,Alone,1,low
96,0,3,male,0,0,8,S,U,1014,Mr,623,3,Alone,1,medium
97,0,1,male,0,0,34,C,A,22,Mr,157,9,Alone,1,veryHigh
98,1,1,male,0,1,63,C,D,46,Mr,157,3,Small,2,superhigh
99,1,2,female,0,1,23,S,U,1014,Mrs,293,6,Small,2,veryHigh
100,0,2,male,1,0,26,S,U,1014,Mr,623,6,Small,2,veryHigh
101,0,3,female,0,0,7,S,U,1014,Miss,293,4,Alone,1,low
102,0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1,low
103,0,1,male,0,1,77,S,D,46,Mr,623,2,Small,2,superhigh
104,0,3,male,0,0,8,S,U,1014,Mr,623,6,Alone,1,medium
105,0,3,male,2,0,7,S,U,1014,Mr,623,7,Small,1,low
106,0,3,male,0,0,7,S,U,1014,Mr,623,4,Alone,1,low
107,1,3,female,0,0,7,S,U,1014,Miss,293,2,Alone,1,low
108,1,3,male,0,0,7,S,U,1014,Mr,623,1,Alone,1,low
109,0,3,male,0,0,7,S,U,1014,Mr,623,7,Alone,1,low
110,1,3,female,1,0,24,Q,U,1014,Miss,60,5,Small,3,veryHigh
111,0,1,male,0,0,52,S,C,94,Mr,623,8,Alone,2,superhigh
112,0,3,female,1,0,14,C,U,1014,Miss,113,0,Small,2,high
113,0,3,male,0,0,8,S,U,1014,Mr,623,2,Alone,1,medium
114,0,3,female,1,0,9,S,U,1014,Miss,293,2,Small,1,medium
115,0,3,female,0,0,14,C,U,1014,Miss,113,1,Alone,2,high
116,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
117,0,3,male,0,0,7,Q,U,1014,Mr,63,9,Alone,1,low
118,0,2,male,1,0,21,S,U,1014,Mr,623,5,Small,2,high
119,0,1,male,0,1,247,C,B,65,Mr,157,3,Small,3,superhigh
120,0,3,female,4,2,31,S,U,1014,Miss,293,0,Large,7,veryHigh
121,0,2,male,2,0,73,S,U,1014,Mr,623,2,Small,7,superhigh
122,0,3,male,0,0,8,S,U,1014,Mr,623,4,Alone,1,medium
123,0,2,male,1,0,30,C,U,1014,Mr,157,6,Small,2,veryHigh
124,1,2,female,0,0,13,S,E,41,Miss,293,6,Alone,1,high
125,0,1,male,0,1,77,S,D,46,Mr,623,9,Small,2,superhigh
126,1,3,male,1,0,11,C,U,1014,Master,157,0,Small,2,high
127,0,3,male,0,0,7,Q,U,1014,Mr,63,5,Alone,1,low
128,1,3,male,0,0,7,S,U,1014,Mr,623,3,Alone,1,low
129,1,3,female,1,1,22,C,F,21,Miss,113,2,Small,3,veryHigh
130,0,3,male,0,0,6,S,U,1014,Mr,623,8,Alone,1,low
131,0,3,male,0,0,7,C,U,1014,Mr,157,6,Alone,1,low
132,0,3,male,0,0,7,S,U,1014,Mr,623,2,Alone,1,low
133,0,3,female,1,0,14,S,U,1014,Mrs,293,8,Small,2,high
134,1,2,female,1,0,26,S,U,1014,Mrs,293,5,Small,2,veryHigh
135,0,2,male,0,0,13,S,U,1014,Mr,623,3,Alone,1,high
136,0,2,male,0,0,15,C,U,1014,Mr,157,3,Alone,1,high
137,1,1,female,0,2,26,S,D,46,Miss,293,1,Small,1,veryHigh
138,0,1,male,1,0,53,S,C,94,Mr,623,7,Small,2,superhigh
139,0,3,male,0,0,9,S,U,1014,Mr,623,0,Alone,2,medium
140,0,1,male,0,0,79,C,B,65,Mr,157,3,Alone,2,superhigh
