iter	Passed	Remaining
0	56	3314
1	57	1663
2	58	1112
3	59	835
4	60	670
5	62	559
6	63	479
7	64	418
8	65	371
9	66	333
10	67	302
11	68	275
12	70	253
13	71	234
14	72	217
15	73	202
16	74	188
17	75	177
18	76	165
19	77	154
20	78	145
21	79	137
22	80	130
23	82	123
24	83	116
25	84	110
26	85	104
27	86	99
28	87	93
29	89	89
30	90	84
31	91	79
32	92	75
33	93	71
34	94	67
35	96	64
36	97	60
37	99	57
38	100	54
39	101	50
40	103	47
41	104	44
42	105	41
43	106	38
44	109	36
45	109	33
46	111	30
47	112	28
48	113	25
49	114	22
50	115	20
51	117	18
52	118	15
53	119	13
54	120	10
55	122	8
56	123	6
57	124	4
58	126	2
59	127	0
